state,x,y
Andhra Pradesh,-122,-208
Arunachal Pradesh,245,190
Assam,232,113
Bihar,67,79
Chhattisgarh,-23,-38
Goa,-218	,-204
Gujarat,-325,14
Haryana,-157,182
Himachal Pradesh,-146,260
Jharkhand,56,34
Karnataka,-187,-260
Kerala,-144,-363
Madhya Pradesh,-177,10
Maharashtra,-231,-82
Manipur,278,73
Meghalaya,197,88
Mizoram,262,10
Nagaland,293,115
Odisha,32,-77
Punjab,-175,223
Rajasthan,-281,116
Sikkim,148,136
Tamil Nadu,-134,-313
Telangana,-107,-140
Tripura,233,28
Uttar Pradesh,-98,132
Uttarakhand,-63,186
West Bengal,132,3